index,model_name,input_horizontal,input_vertical,step,Execution_time,number_of_layers,FLOPs_G,Total_params_M,Memory_M,total_num_of_neurons_M
1,vgg13,32,32,1,4.65415954589844,22,0.24,10.42,0.858396,0.215622
2,vgg13,32,32,2,6.40279054641724,22,0.36,15.09,0.982876,0.246742
3,vgg13,32,32,3,5.38124084472656,22,0.35,11.93,1.004988,0.25227
4,vgg13,32,32,4,5.60949087142944,22,0.35,12.83,0.99654,0.250158
5,vgg13,32,32,5,6.27972841262817,22,0.23,14.79,0.850076,0.213542
6,vgg13,32,32,6,4.30160999298096,22,0.31,9.08,0.96182,0.241478
7,vgg13,32,32,7,5.32685041427612,22,0.41,11.8,1.072044,0.269034
8,vgg13,32,32,8,4.21202659606934,22,0.3,8.98,0.936444,0.235134
9,vgg13,32,32,9,5.97368717193604,22,0.31,13.78,0.947484,0.237894
10,vgg13,32,32,10,6.16294622421265,22,0.34,14.09,1.039532,0.260906
11,vgg13,64,64,1,6.31447315216064,22,0.84,12.34,3.098732,0.778778
12,vgg13,64,64,2,6.97270154953003,22,1.39,11.46,4.155372,1.042938
13,vgg13,64,64,3,6.54630899429321,22,1.35,9.96,4.201388,1.054442
14,vgg13,64,64,4,8.99101734161377,22,0.82,19.44,3.296364,0.828186
15,vgg13,64,64,5,10.3750801086426,22,1.2,22.48,3.770156,0.946634
16,vgg13,64,64,6,8.17724704742432,22,1.28,15.11,3.991468,1.001962
17,vgg13,64,64,7,9.59393739700317,22,1.33,19.4,3.873196,0.972394
18,vgg13,64,64,8,7.15441942214966,22,1.36,11.59,4.190252,1.051658
19,vgg13,64,64,9,8.29653978347778,22,1.15,15.75,3.72062,0.93425
20,vgg13,64,64,10,8.0827522277832,22,1.36,15.74,3.839084,0.963866
21,vgg13,96,96,1,13.8563823699951,22,2.84,21.22,8.62438,2.16531
22,vgg13,96,96,2,13.5343408584595,22,2.83,19.4,8.73942,2.19407
23,vgg13,96,96,3,9.79225635528564,22,2.32,11.69,8.216476,2.063334
24,vgg13,96,96,4,14.0599012374878,22,2.7,22.39,8.466284,2.125786
25,vgg13,96,96,5,13.4900140762329,22,2.03,24.52,7.5203,1.88929
26,vgg13,96,96,6,17.1844482421875,22,3.27,27.13,9.597372,2.408558
27,vgg13,96,96,7,12.8857731819153,22,2.79,18.22,8.726012,2.190718
28,vgg13,96,96,8,15.3506994247437,22,2.87,24.31,8.712332,2.187298
29,vgg13,96,96,9,15.3363943099976,22,2.92,23.94,8.986668,2.255882
30,vgg13,96,96,10,15.4543256759644,22,2.73,25.72,8.706124,2.185746
31,vgg13,128,128,1,21.1166095733643,22,5.31,27.49,14.890284,3.738954
32,vgg13,128,128,2,11.9314002990723,22,2.74,14.91,12.274988,3.08513
33,vgg13,128,128,3,26.8119835853577,22,5.67,40.65,16.105772,4.042826
34,vgg13,128,128,4,22.6731872558594,22,4.63,34.97,15.342892,3.852106
35,vgg13,128,128,5,15.5729651451111,22,4.29,16.73,15.367468,3.85825
36,vgg13,128,128,6,14.7633719444275,22,3.89,17.52,13.123372,3.297226
37,vgg13,128,128,7,19.9530720710754,22,4.09,31.73,14.508076,3.643402
38,vgg13,128,128,8,21.5849900245666,22,4.74,32.86,14.736684,3.700554
39,vgg13,128,128,9,17.8318524360657,22,4.43,21.64,14.462508,3.63201
40,vgg13,128,128,10,19.0950560569763,22,5.4,19.14,16.52126,4.146698
41,vgg13,144,144,1,28.5373735427856,22,5.89,35.88,18.825316,4.727064
42,vgg13,144,144,2,26.8859148025513,22,5.93,28.75,19.592916,4.918964
43,vgg13,144,144,3,29.280059337616,22,7.01,29.64,21.169756,5.313174
44,vgg13,144,144,4,30.3903794288635,22,7.36,31.79,20.432124,5.128766
45,vgg13,144,144,5,24.4399785995483,22,5.83,24.03,18.717308,4.700062
46,vgg13,144,144,6,26.8360495567322,22,5.66,32.72,17.81078,4.47343
47,vgg13,144,144,7,28.9712262153625,22,6.2,33.73,19.066076,4.787254
48,vgg13,144,144,8,23.0078458786011,22,4.99,24.89,17.364388,4.361832
49,vgg13,144,144,9,26.8148684501648,22,7.38,21.12,19.448452,4.882848
50,vgg13,144,144,10,30.8338975906372,22,7.78,29.32,20.13846,5.05535
51,vgg13,160,160,1,22.9343700408936,22,5.73,20.61,22.24222,5.586154
52,vgg13,160,160,2,29.5359086990356,22,6.96,28.93,23.666252,5.942162
53,vgg13,160,160,3,33.7576103210449,22,6.89,42.2,22.630524,5.68323
54,vgg13,160,160,4,36.4261960983276,22,6.81,47.41,22.626172,5.682142
55,vgg13,160,160,5,33.9433765411377,22,5.7,47.81,20.90606,5.252114
56,vgg13,160,160,6,30.8657550811768,22,7.5,30.9,23.664716,5.941778
57,vgg13,160,160,7,33.4461975097656,22,7.09,39.63,21.415132,5.379382
58,vgg13,160,160,8,32.4291610717773,22,7.78,31.82,23.826364,5.98219
59,vgg13,160,160,9,38.0931854248047,22,8.04,43.72,24.530508,6.158226
60,vgg13,160,160,10,25.7024955749512,22,5.08,30.25,20.385644,5.12201
61,vgg13,176,176,1,40.5968761444092,22,11.08,32.79,29.429316,7.388304
62,vgg13,176,176,2,37.1349143981934,22,10.8,26.08,31.960212,8.021028
63,vgg13,176,176,3,35.908408164978,22,7.12,44.76,25.166108,6.322502
64,vgg13,176,176,4,45.0170469284058,22,10.8,44.59,30.078868,7.550692
65,vgg13,176,176,5,33.028621673584,22,7.5,38.02,28.065076,7.047244
66,vgg13,176,176,6,44.3694925308228,22,12.12,34.62,31.679492,7.950848
67,vgg13,176,176,7,50.4431343078613,22,12.82,48.17,33.15038,8.31857
68,vgg13,176,176,8,31.9854164123535,22,9.13,23.68,27.975668,7.024892
69,vgg13,176,176,9,35.3444766998291,22,8.37,38.85,26.942636,6.766634
70,vgg13,176,176,10,37.6753997802734,22,9.7,33.27,28.521164,7.161266
71,vgg13,192,192,1,54.6335887908936,22,13.54,52.97,37.719276,9.466682
