index,,input_horizontal,input_vertical,step,Execution_time,Throughout,number_of_layers,FLOPs_G,Total_params_M,Memory_M,total_num_of_neurons_M
0,vgg11,48,48,1,3.58089923858643,69.8148658599756,27,0.91,3.99,2.831884,0.710274
1,vgg11,48,48,2,4.64554405212402,53.8150100816923,27,1.32,5.9,3.477772,0.871746
2,vgg11,48,48,3,6.57606410980225,38.0166610035555,27,1.8,8.18,4.12366,1.033218
3,vgg11,48,48,4,8.36461162567139,29.8878192064218,27,2.35,10.83,4.769548,1.19469
4,vgg11,82,82,1,5.98027324676514,41.8041098933449,27,1.78,3.99,6.309164,1.584014
5,vgg11,82,82,2,8.015380859375,31.1900338095093,27,2.57,5.9,7.682732,1.927406
6,vgg11,82,82,3,11.177173614502,22.3670141148774,27,3.51,8.18,9.0563,2.270798
7,vgg11,82,82,4,14.3556346893311,17.4147646837097,27,4.59,10.83,10.429868,2.61419
8,vgg11,116,116,1,8.84108543395996,28.2770709396961,27,2.81,3.99,10.901004,2.738706
9,vgg11,116,116,2,11.2516460418701,22.2189712571555,27,4.05,5.9,13.229836,3.320914
10,vgg11,116,116,3,15.7913722991943,15.8314296733258,27,5.53,8.18,15.558668,3.903122
11,vgg11,116,116,4,20.7142534255981,12.0689843299424,27,7.23,10.83,17.8875,4.48533
12,vgg11,150,150,1,12.1286697387695,20.6123182001461,27,4.13,3.99,17.017004,4.27675
13,vgg11,150,150,2,16.0619516372681,15.5647337039624,27,5.97,5.9,20.610604,5.17515
14,vgg11,150,150,3,22.6018667221069,11.0610332798518,27,8.13,8.18,24.204204,6.07355
15,vgg11,150,150,4,28.8738088607788,8.65836582923396,27,10.64,10.83,27.797804,6.97195
16,vgg11,184,184,1,16.5232095718384,15.1302323506259,27,5.66,3.99,24.275724,6.102786
17,vgg11,184,184,2,21.8714551925659,11.4304237097573,27,8.16,5.9,29.367308,7.375682
18,vgg11,184,184,3,30.6984395980835,8.14373640071294,27,11.13,8.18,34.458892,8.648578
19,vgg11,184,184,4,39.8676080703735,6.27075493364701,27,14.55,10.83,39.550476,9.921474
20,vgg11,218,218,1,22.7115659713745,11.0076073272578,27,7.83,3.99,33.717804,8.476974
21,vgg11,218,218,2,29.9783935546875,8.33933944939186,27,11.3,5.9,40.748716,10.234702
22,vgg11,218,218,3,42.3897485733032,5.8976523431764,27,15.39,8.19,47.779628,11.99243
23,vgg11,218,218,4,54.22913646698,4.61006787655976,27,20.13,10.84,54.81054,13.750158
