index,input_horizontal,input_vertical,Execution_time,Throughout,FLOPs,Total_params,input_size
1,32,32,6.13713264465332,16.2942543024747,0.62,15.92,1024
2,32,64,7.14314222335815,13.9994412645179,1.24,16.18,2048
3,32,96,8.89178276062012,11.246338635586,1.85,16.44,3072
4,32,128,10.6750464439392,9.36764074284429,2.47,16.7,4096
5,32,160,12.7515125274658,7.84220693698942,3.08,16.97,5120
6,32,192,15.0673413276672,6.63687095323022,3.7,17.23,6144
7,32,224,17.3793911933899,5.75394148662895,4.31,17.49,7168
8,64,32,7.06037759780884,14.1635484242422,1.24,16.18,2048
9,64,64,9.21501874923706,10.8518498682685,2.47,16.7,4096
10,64,96,11.9913101196289,8.33937234567116,3.7,17.23,6144
11,64,128,14.8774147033691,6.72159793847475,4.93,17.75,8192
12,64,160,17.9751038551331,5.563250193486,6.16,18.28,10240
13,64,192,21.5040564537048,4.65028541081473,7.39,18.8,12288
14,64,224,24.8931550979614,4.01716855924741,8.62,19.32,14336
15,96,32,8.46107721328735,11.818826076065,1.85,16.44,3072
16,96,64,12.7765464782715,7.82684117105242,3.7,17.23,6144
17,96,96,17.598295211792,5.68236859289606,5.54,18.01,9216
18,96,128,22.5850915908813,4.42769955559422,7.39,18.8,12288
19,96,160,27.7026009559631,3.60976935555484,9.24,19.59,15360
20,96,192,33.1385254859924,3.01763577387502,11.08,20.37,18432
21,96,224,38.8312649726868,2.57524446011064,12.93,21.16,21504
22,128,32,9.55513715744019,10.4655745231385,2.47,16.7,4096
23,128,64,14.8475456237793,6.73511990021055,4.93,17.75,8192
24,128,96,20.8740401268005,4.7906394446185,7.39,18.8,12288
25,128,128,26.7377042770386,3.74003687690856,9.85,19.85,16384
26,128,160,33.1253027915955,3.01884032967608,12.31,20.9,20480
27,128,192,39.5760059356689,2.52678353046921,14.78,21.95,24576
28,128,224,46.4567923545837,2.1525377653443,17.24,22.99,28672
29,160,32,11.6642618179321,8.57319576334135,3.08,16.97,5120
30,160,64,19.07634973526,5.24209303078375,6.16,18.28,10240
31,160,96,27.2834634780884,3.66522381149706,9.24,19.59,15360
32,160,128,36.0695624351501,2.77242065743911,12.31,20.9,20480
33,160,160,44.8113536834717,2.23157730753589,15.39,22.21,25600
34,160,192,53.64990234375,1.86393629124005,18.47,23.52,30720
35,160,224,62.4382400512695,1.60158261856656,21.55,24.83,35840
36,192,32,12.69362449646,7.87797055347654,3.7,17.23,6144
37,192,64,21.2619376182556,4.70324021241316,7.39,18.8,12288
38,192,96,30.4934883117676,3.27938866742935,11.08,20.37,18432
39,192,128,40.5230712890625,2.46773003178046,14.78,21.95,24576
40,192,160,50.3060150146484,1.98783385984522,18.47,23.52,30720
41,192,192,60.4334950447083,1.65471151264743,22.16,25.09,36864
42,192,224,70.1161861419678,1.42620421192797,25.86,26.66,43008
43,224,32,14.6133184432983,6.84307266607606,4.31,17.49,7168
44,224,64,25.217924118042,3.96543345645392,8.62,19.32,14336
45,224,96,36.3259267807007,2.75285474762142,12.93,21.16,21504
46,224,128,48.2484602928162,2.07260499906334,17.24,22.99,28672
47,224,160,59.9944353103638,1.66682125571612,21.55,24.83,35840
48,224,192,71.932864189148,1.39018515566194,25.86,26.66,43008
49,224,224,84.2168664932251,1.1874106003225,30.16,28.5,50176
