model_num,input_horizontal,input_vertical,FLOPs,Total_params
1,32,32,0.65,31.41
2,32,64,1.27,32.46
3,32,96,1.88,33.51
4,32,128,2.5,34.55
5,32,160,3.12,35.6
6,32,192,3.74,36.65
7,32,224,4.35,37.7
8,64,32,1.27,32.46
9,64,64,2.5,34.55
10,64,96,3.74,36.65
11,64,128,4.97,38.75
12,64,160,6.2,40.85
13,64,192,7.44,42.94
14,64,224,8.67,45.04
15,96,32,1.88,33.51
16,96,64,3.74,36.65
17,96,96,5.59,39.8
18,96,128,7.44,42.94
19,96,160,9.29,46.09
20,96,192,11.14,49.23
21,96,224,12.99,52.38
22,128,32,2.5,34.55
23,128,64,4.97,38.75
24,128,96,7.44,42.94
25,128,128,9.91,47.14
26,128,160,12.38,51.33
27,128,192,14.84,55.53
28,128,224,17.31,59.72
29,160,32,3.12,35.6
30,160,64,6.2,40.85
31,160,96,9.29,46.09
32,160,128,12.38,51.33
33,160,160,15.46,56.57
34,160,192,18.55,61.82
35,160,224,21.63,67.06
36,192,32,3.74,36.65
37,192,64,7.44,42.94
38,192,96,11.14,49.23
39,192,128,14.84,55.53
40,192,160,18.55,61.82
41,192,192,22.25,68.11
42,192,224,25.95,74.4
43,224,32,4.35,37.7
44,224,64,8.67,45.04
45,224,96,12.99,52.38
46,224,128,17.31,59.72
47,224,160,21.63,67.06
48,224,192,25.95,74.4
49,224,224,30.27,81.74
