model_num,input_horizontal,input_vertical,step,number_of_layers,FLOPs_G,Total_params_M,Memory_M,total_num_of_neurons_M
1,512,512,1,18,5.81,61.82,13.127084,3.543914
2,512,512,2,18,6.17,32.78,14.23342,3.820498
3,512,512,3,18,6.65,39.9,14.756236,3.951202
4,512,512,4,18,6.65,24.16,15.110796,4.039842
5,512,512,5,18,5.85,24.58,13.517164,3.641434
6,512,512,6,18,6.3,43.88,14.95966,4.002058
7,512,512,7,18,6.51,38.43,14.277484,3.831514
8,512,512,8,18,6.3,25.09,13.737356,3.696482
9,512,512,9,18,5.66,53.08,13.41326,3.615458
10,512,512,10,18,5.43,53.54,13.698796,3.686842
