model_num,input_horizontal,input_vertical,step,number_of_layers,FLOPs_G,Total_params_M,Memory_M,total_num_of_neurons_M
1,128,128,1,95,0.51,5.93,4.543972,1.152376
2,128,128,2,95,0.58,5.9,4.757012,1.205636
3,128,128,3,95,0.55,5.82,4.61742,1.170738
4,128,128,4,95,0.51,5.9,4.70742,1.193238
5,128,128,5,95,0.45,5.88,3.949396,1.003732
6,128,128,6,95,0.56,5.81,4.744732,1.202566
7,128,128,7,95,0.46,5.66,4.179964,1.061374
8,128,128,8,95,0.46,5.94,4.124084,1.047404
9,128,128,9,95,0.55,5.88,4.960364,1.256474
10,128,128,10,95,0.56,5.92,4.928812,1.248586
11,160,160,1,95,0.96,6.7,7.80402,1.976604
12,160,160,2,95,0.99,6.66,8.402404,2.1262
13,160,160,3,95,0.99,6.59,7.800956,1.975838
14,160,160,4,95,0.96,6.7,8.275916,2.094578
15,160,160,5,95,0.88,6.49,7.700916,1.950828
16,160,160,6,95,0.79,6.51,7.05726,1.789914
17,160,160,7,95,0.87,6.53,7.47714,1.894884
18,160,160,8,95,0.89,6.49,7.679484,1.94547
19,160,160,9,95,0.82,6.34,7.518012,1.905102
20,160,160,10,95,0.94,6.54,8.081444,2.04596
21,192,192,1,95,1.56,6.5,12.568444,3.178974
22,192,192,2,95,1.19,6.4,10.416716,2.641042
23,192,192,3,95,1.33,6.61,11.9751,3.030638
24,192,192,4,95,1.34,6.59,11.987796,3.033812
25,192,192,5,95,1.51,6.68,12.492468,3.15998
26,192,192,6,95,1.31,6.51,11.30002,2.861868
27,192,192,7,95,1.6,6.7,13.248036,3.348872
28,192,192,8,95,1.5,6.65,12.604812,3.188066
29,192,192,9,95,1.21,6.41,11.12374,2.817798
30,192,192,10,95,1.24,6.51,11.074748,2.80555
31,224,224,1,95,1.79,7.94,15.952996,4.038424
32,224,224,2,95,1.9,7.39,16.36814,4.14221
33,224,224,3,95,1.92,7.49,16.426276,4.156744
34,224,224,4,95,1.77,7.69,15.7261,3.9817
35,224,224,5,95,1.72,7.48,15.37018,3.89272
36,224,224,6,95,2.04,7.73,16.549396,4.187524
37,224,224,7,95,1.91,7.87,16.559508,4.190052
38,224,224,8,95,2.08,7.73,16.32662,4.13183
39,224,224,9,95,1.94,7.8,15.694364,3.973766
40,224,224,10,95,2.04,7.78,17.267852,4.367138
41,256,256,1,95,2.69,8.72,22.572548,5.708672
42,256,256,2,95,2.98,8.93,24.384804,6.161736
43,256,256,3,95,2.46,9.2,21.134628,5.349192
44,256,256,4,95,2.98,9.19,24.830612,6.273188
45,256,256,5,95,2.76,9.55,23.393196,5.913834
46,256,256,6,95,2.99,9.18,24.635028,6.224292
47,256,256,7,95,2.58,9.63,21.417468,5.419902
48,256,256,8,95,2.74,9.37,23.200804,5.865736
49,256,256,9,95,2.73,9.47,22.126964,5.597276
50,256,256,10,95,2.47,8.85,21.920052,5.545548
51,288,288,1,95,3.99,9.19,32.27214,8.150978
52,288,288,2,95,3.22,9.66,27.459284,6.947764
53,288,288,3,95,2.99,9.01,26.051588,6.59584
54,288,288,4,95,3.45,9.26,29.326188,7.41449
55,288,288,5,95,3.17,9.66,27.60078,6.983138
56,288,288,6,95,3.45,9.38,29.173092,7.376216
57,288,288,7,95,3.56,9.63,29.328188,7.41499
58,288,288,8,95,3.17,9.0,27.330052,6.915456
59,288,288,9,95,3.28,9.42,28.390692,7.180616
60,288,288,10,95,3.63,9.55,30.696436,7.757052
61,320,320,1,95,4.74,11.61,39.295836,9.926358
62,320,320,2,95,3.95,11.93,33.435844,8.46136
63,320,320,3,95,4.74,11.56,39.201788,9.902846
64,320,320,4,95,4.14,11.12,34.525876,8.733868
65,320,320,5,95,4.72,11.61,38.738492,9.787022
66,320,320,6,95,4.08,11.59,33.461292,8.467722
67,320,320,7,95,3.91,10.97,33.736132,8.536432
68,320,320,8,95,4.02,11.05,33.643636,8.513308
69,320,320,9,95,3.98,11.41,34.474676,8.721068
70,320,320,10,95,3.82,11.53,33.624732,8.508582
