model_num,input_horizontal,input_vertical,step,number of layers,FLOPs,Total_params,Memory
1,32,32,1,84,0.02,2.59,1.104212
2,32,32,2,84,0.01,2.01,0.96118
3,32,32,3,84,0.01,1.85,0.941156
4,32,32,4,84,0.01,2.23,0.916644
5,32,32,5,84,0.01,1.8,0.952372
6,32,32,6,84,0.02,2.12,0.942316
7,32,32,7,84,0.02,1.92,1.025028
8,32,32,8,84,0.02,2.94,1.1171
9,32,32,9,84,0.01,1.98,0.963276
10,32,32,10,84,0.01,1.91,0.94414
11,64,64,1,84,0.08,2.81,4.441956
12,64,64,2,84,0.04,1.61,3.26218
13,64,64,3,84,0.06,2.21,4.321676
14,64,64,4,84,0.06,1.88,4.214092
15,64,64,5,84,0.07,2.53,4.268892
16,64,64,6,84,0.06,2.01,4.04318
17,64,64,7,84,0.07,2.33,4.312476
18,64,64,8,84,0.07,2.23,4.194244
19,64,64,9,84,0.05,2.3,3.829612
20,64,64,10,84,0.07,2.81,4.00602
21,96,96,1,84,0.18,2.32,10.655708
22,96,96,2,84,0.13,2.3,8.94914
23,96,96,3,84,0.12,1.8,8.765508
24,96,96,4,84,0.16,2.97,9.32306
25,96,96,5,84,0.17,2.92,9.616172
26,96,96,6,84,0.13,2.53,8.1667
27,96,96,7,84,0.1,2.14,7.697532
28,96,96,8,84,0.13,1.88,9.345412
29,96,96,9,84,0.14,2.03,8.593828
30,96,96,10,84,0.1,1.97,8.258116
31,128,128,1,84,0.22,2.38,15.585996
32,128,128,2,84,0.24,2.21,15.85354
33,128,128,3,84,0.22,1.88,16.444772
34,128,128,4,84,0.25,2.25,14.5363
35,128,128,5,84,0.25,2.38,16.797996
36,128,128,6,84,0.22,1.81,14.648732
37,128,128,7,84,0.28,2.46,16.847524
38,128,128,8,84,0.27,2.61,16.711956
39,128,128,9,84,0.22,2.54,13.886956
40,128,128,10,84,0.22,1.81,14.648588
41,160,160,1,84,0.38,2.05,24.744884
42,160,160,2,84,0.45,2.79,24.887988
43,160,160,3,84,0.33,1.64,25.37362
44,160,160,4,84,0.41,2.88,23.779556
45,160,160,5,84,0.37,1.97,23.822292
46,160,160,6,84,0.34,1.64,25.902676
47,160,160,7,84,0.28,1.64,23.123364
48,160,160,8,84,0.37,2.08,24.00618
49,160,160,9,84,0.29,1.71,20.740988
50,160,160,10,84,0.48,3.11,27.082852
51,192,192,1,84,0.69,2.93,39.902636
52,192,192,2,84,0.55,2.6,31.656484
53,192,192,3,84,0.49,1.75,36.195404
54,192,192,4,84,0.36,1.46,32.376796
55,192,192,5,84,0.47,1.36,34.993012
56,192,192,6,84,0.53,2.01,34.90318
57,192,192,7,84,0.52,2.6,33.785532
58,192,192,8,84,0.7,2.9,39.636148
59,192,192,9,84,0.49,2.08,32.364756
60,192,192,10,84,0.42,1.93,33.577316
61,224,224,1,84,0.61,1.62,47.365428
62,224,224,2,84,0.64,1.91,47.053604
63,224,224,3,84,0.68,2.17,45.048716
64,224,224,4,84,0.72,1.63,49.56306
65,224,224,5,84,0.47,1.94,39.647828
66,224,224,6,84,0.67,1.96,46.523172
67,224,224,7,84,0.72,2.54,50.004188
68,224,224,8,84,0.77,2.15,48.1995
69,224,224,9,84,0.8,2.38,47.88814
70,224,224,10,84,0.87,2.38,53.00954
71,256,256,1,84,0.69,1.57,53.698452
72,256,256,2,84,0.96,2.15,63.838068
73,256,256,3,84,0.73,2.03,59.569908
74,256,256,4,84,0.92,2.28,60.177916
75,256,256,5,84,1.21,2.53,70.34118
76,256,256,6,84,0.72,1.66,52.57782
77,256,256,7,84,0.91,2.25,58.931668
78,256,256,8,84,0.96,2.25,64.006492
79,256,256,9,84,0.96,2.15,65.918292
80,256,256,10,84,0.46,1.64,47.778484
81,288,288,1,84,1.14,2.39,75.350028
82,288,288,2,84,1.31,2.85,79.316172
83,288,288,3,84,0.96,2.02,75.004372
84,288,288,4,84,1.54,2.88,93.61486
85,288,288,5,84,1.21,2.19,79.443932
86,288,288,6,84,1.32,2.07,85.737364
87,288,288,7,84,1.29,2.61,84.029868
88,288,288,8,84,1.34,2.17,83.106148
89,288,288,9,84,1.31,2.21,84.094404
90,288,288,10,84,0.96,2.14,67.2045
91,320,320,1,84,1.46,2.32,98.612012
92,320,320,2,84,1.18,1.98,94.5935
93,320,320,3,84,1.07,1.44,94.831764
94,320,320,4,84,1.47,2.33,91.430332
95,320,320,5,84,1.6,2.48,95.63446
96,320,320,6,84,1.37,2.05,87.988052
97,320,320,7,84,1.16,1.61,93.522732
98,320,320,8,84,1.67,2.53,108.685044
99,320,320,9,84,1.67,3.02,94.53586
100,320,320,10,84,1.37,2.29,96.791836
101,352,352,1,84,1.87,2.49,122.950404
102,352,352,2,84,1.45,2.32,98.827564
103,352,352,3,84,1.6,2.23,122.292668
104,352,352,4,84,1.72,1.9,110.095876
105,352,352,5,84,1.93,2.81,118.037404
106,352,352,6,84,1.73,2.59,118.79682
107,352,352,7,84,1.71,2.21,116.365604
108,352,352,8,84,1.37,2.0,97.497116
109,352,352,9,84,1.62,2.26,115.280556
110,352,352,10,84,1.91,2.0,125.676668
111,384,384,1,84,2.05,2.43,138.752124
112,384,384,2,84,2.2,2.32,146.900076
113,384,384,3,84,2.45,2.1,155.255324
114,384,384,4,84,2.29,2.33,139.0423
115,384,384,5,84,2.15,2.63,145.768652
116,384,384,6,84,2.38,2.67,146.204132
117,384,384,7,84,2.29,2.47,133.336372
118,384,384,8,84,2.19,2.4,136.831452
119,384,384,9,84,2.81,2.94,157.206188
120,384,384,10,84,2.48,2.53,158.253004
121,416,416,1,84,2.89,2.91,165.666316
122,416,416,2,84,2.25,1.92,166.61798
123,416,416,3,84,2.04,1.2,170.388636
124,416,416,4,84,2.67,2.01,173.843108
125,416,416,5,84,1.27,1.24,140.437284
126,416,416,6,84,1.38,0.96,141.560372
127,416,416,7,84,3.19,2.83,178.957868
128,416,416,8,84,2.3,2.17,160.083652
129,416,416,9,84,2.24,1.9,150.161748
130,416,416,10,84,2.23,1.72,161.733228
131,448,448,1,84,2.57,1.75,181.074652
132,448,448,2,84,2.08,1.51,172.033348
133,448,448,3,84,2.9,2.49,156.057372
134,448,448,4,84,2.95,2.56,191.6543
135,448,448,5,84,2.51,2.06,188.972972
136,448,448,6,84,2.7,2.37,190.312484
137,448,448,7,84,2.91,2.21,213.87846
138,448,448,8,84,3.38,2.69,200.225076
139,448,448,9,84,3.37,2.19,218.2525
140,448,448,10,84,2.71,1.89,181.784308
141,480,480,1,84,3.12,1.72,216.888892
142,480,480,2,84,3.06,1.5,226.06698
143,480,480,3,84,3.1,2.66,186.319668
144,480,480,4,84,2.87,1.88,209.033436
145,480,480,5,84,3.42,1.87,231.095348
146,480,480,6,84,2.91,2.14,216.875972
147,480,480,7,84,3.11,2.17,224.561164
148,480,480,8,84,2.87,1.57,214.359644
149,480,480,9,84,2.5,1.39,198.82434
150,480,480,10,84,3.73,2.09,243.855148
