model_num,input_horizontal,input_vertical,step,number of layers,FLOPs,Total_params,Memory
1,32,32,1,40,1.62,19.3,5.375236
2,32,32,2,40,2.43,14.37,6.688452
3,32,32,3,40,1.58,17.33,5.013636
4,32,32,4,40,1.12,13.58,4.153988
5,32,32,5,40,1.85,11.47,5.955588
6,32,32,6,40,2.15,14.47,6.312836
7,32,32,7,40,2.52,12.75,6.709316
8,32,32,8,40,3.69,19.72,7.87642
9,32,32,9,40,3.16,13.19,7.50234
10,32,32,10,40,4.42,23.41,8.794436
11,64,64,1,40,5.6,19.34,18.639876
12,64,64,2,40,6.42,22.24,20.384516
13,64,64,3,40,7.27,18.4,21.696516
14,64,64,4,40,6.03,19.42,19.93242
15,64,64,5,40,11.15,15.14,28.123652
16,64,64,6,40,9.51,17.45,26.562564
17,64,64,7,40,4.7,10.5,17.347844
18,64,64,8,40,6.33,29.04,17.792772
19,64,64,9,40,7.8,21.66,23.293956
20,64,64,10,40,6.99,25.99,19.221508
21,96,96,1,40,33.52,24.74,72.319684
22,96,96,2,40,16.74,22.43,50.204164
23,96,96,3,40,11.32,16.66,38.652484
24,96,96,4,40,19.54,19.16,54.071428
25,96,96,5,40,19.74,23.28,55.309252
26,96,96,6,40,11.58,22.47,39.985348
27,96,96,7,40,13.88,25.5,43.07962
28,96,96,8,40,21.57,19.0,55.545988
29,96,96,9,40,20.41,14.99,55.39162
30,96,96,10,40,32.1,32.13,68.074564
31,128,128,1,40,31.38,25.88,86.692868
32,128,128,2,40,22.15,13.45,75.884548
33,128,128,3,40,33.45,17.78,95.710212
34,128,128,4,40,28.77,27.74,84.983812
35,128,128,5,40,49.76,20.03,113.943556
36,128,128,6,40,25.72,22.53,74.439684
37,128,128,7,40,26.31,25.63,73.821188
38,128,128,8,40,27.79,20.27,86.29146
39,128,128,9,40,17.52,21.9,61.855748
40,128,128,10,40,18.89,13.27,67.514372
41,160,160,1,40,27.32,18.03,103.611204
42,160,160,2,40,82.07,14.31,186.814404
43,160,160,3,40,27.27,18.18,94.150404
44,160,160,4,40,64.17,26.7,163.811204
45,160,160,5,40,52.97,27.0,143.283204
46,160,160,6,40,130.33,34.18,222.400004
47,160,160,7,40,33.85,8.19,123.660804
48,160,160,8,40,41.14,11.17,132.795204
49,160,160,9,40,42.46,19.77,125.988804
50,160,160,10,40,214.17,24.62,295.996804
51,192,192,1,40,234.74,19.85,361.13818
52,192,192,2,40,59.16,23.11,184.792324
53,192,192,3,40,76.77,13.33,221.1241
54,192,192,4,40,103.22,31.96,244.537348
55,192,192,5,40,58.28,15.32,186.861316
56,192,192,6,40,65.8,10.63,208.323076
57,192,192,7,40,47.22,16.97,147.794692
58,192,192,8,40,54.89,26.03,164.312068
59,192,192,9,40,74.58,19.1,204.979972
60,192,192,10,40,59.48,28.94,167.422468
61,224,224,1,40,200.96,22.51,394.424132
62,224,224,2,40,76.38,20.22,246.580548
63,224,224,3,40,136.48,16.97,332.541444
64,224,224,4,40,92.11,28.95,238.097668
65,224,224,5,40,68.54,22.24,227.058948
66,224,224,6,40,93.1,20.29,281.405828
67,224,224,7,40,69.31,19.15,233.271364
68,224,224,8,40,105.02,21.74,304.6969
69,224,224,9,40,75.64,19.54,251.137156
70,224,224,10,40,74.45,16.0,246.270084
71,256,256,1,40,140.19,13.4,411.840516
72,256,256,2,40,125.63,18.81,355.676164
73,256,256,3,40,132.34,18.06,368.1321
74,256,256,4,40,115.47,16.23,360.202244
75,256,256,5,40,99.78,21.35,311.54586
76,256,256,6,40,84.12,17.11,284.344324
77,256,256,7,40,128.6,10.76,395.661316
78,256,256,8,40,119.81,20.29,341.741572
79,256,256,9,40,141.57,17.4,381.284356
80,256,256,10,40,199.98,20.7,486.36314
81,288,288,1,40,386.03,32.79,714.806212
82,288,288,2,40,234.61,19.96,569.27578
83,288,288,3,40,174.77,14.87,492.842884
84,288,288,4,40,102.76,21.13,351.91066
85,288,288,5,40,215.92,26.01,549.514372
86,288,288,6,40,215.41,21.04,553.226116
87,288,288,7,40,208.95,25.32,520.10554
88,288,288,8,40,347.7,21.72,701.02714
89,288,288,9,40,141.0,27.0,423.195844
90,288,288,10,40,113.03,26.97,332.615812
