model_num,input_horizontal,input_vertical,step,number_of_layers,FLOPs_G,Total_params_M,Memory_M,total_num_of_neurons_M
1,160,160,1,16,0.56,3.79,9.899092,2.500372
2,160,160,2,16,0.3,3.0,6.215412,1.579452
3,160,160,3,16,0.39,3.44,7.256676,1.839768
4,160,160,4,16,0.54,4.66,9.80702,2.477354
5,160,160,5,16,0.26,4.41,6.369516,1.617978
6,160,160,6,16,0.44,4.13,8.214236,2.079158
7,160,160,7,16,0.5,4.78,8.876292,2.244672
8,160,160,8,16,0.33,2.86,6.394276,1.624168
9,160,160,9,16,0.53,3.23,9.756492,2.464722
10,160,160,10,16,0.43,1.7,8.017108,2.029876
11,192,192,1,16,0.72,3.75,13.392172,3.384906
12,192,192,2,16,0.63,6.52,12.456012,3.150866
13,192,192,3,16,0.47,7.22,8.873532,2.255246
14,192,192,4,16,0.78,3.09,14.190668,3.58453
15,192,192,5,16,0.51,7.09,10.478108,2.65639
16,192,192,6,16,0.32,4.0,8.364236,2.127922
17,192,192,7,16,0.54,5.58,10.684884,2.708084
18,192,192,8,16,0.83,5.92,14.353044,3.625124
19,192,192,9,16,0.55,3.21,10.19682,2.586068
20,192,192,10,16,0.63,6.26,12.42046,3.141978
21,224,224,1,16,1.1,6.76,19.51558,4.92907
22,224,224,2,16,0.73,5.01,13.0307,3.30785
23,224,224,3,16,0.84,4.41,14.644572,3.711318
24,224,224,4,16,0.55,3.5,12.914332,3.278758
25,224,224,5,16,1.03,4.42,18.117052,4.579438
26,224,224,6,16,0.85,7.43,16.180332,4.095258
27,224,224,7,16,0.65,4.09,13.76626,3.49174
28,224,224,8,16,1.04,7.22,18.135452,4.584038
29,224,224,9,16,0.67,4.06,12.38934,3.14751
30,224,224,10,16,1.08,8.72,18.242412,4.610778
31,256,256,1,16,1.37,10.05,23.74834,6.00262
32,256,256,2,16,0.72,3.64,17.387924,4.412516
33,256,256,3,16,1.44,6.52,25.5467,6.45221
34,256,256,4,16,1.54,8.88,26.434748,6.674222
35,256,256,5,16,1.29,9.34,23.95374,6.05397
36,256,256,6,16,1.19,8.35,22.550012,5.703038
37,256,256,7,16,1.28,8.42,23.401188,5.915832
38,256,256,8,16,1.32,5.5,23.069132,5.832818
39,256,256,9,16,0.71,3.49,16.806484,4.267156
40,256,256,10,16,0.94,5.85,19.41302,4.91879
41,288,288,1,16,1.5,7.87,26.10106,6.608208
42,288,288,2,16,1.5,13.57,27.868188,7.04999
43,288,288,3,16,1.95,6.14,33.524508,8.46407
44,288,288,4,16,1.83,10.12,32.4371,8.192218
45,288,288,5,16,1.31,7.88,23.333724,5.916374
46,288,288,6,16,0.86,8.82,19.702756,5.008632
47,288,288,7,16,1.49,5.43,27.91486,7.061658
48,288,288,8,16,0.86,13.15,19.528788,4.96514
49,288,288,9,16,1.09,11.35,21.043116,5.343722
50,288,288,10,16,1.77,8.01,30.914796,7.811642
51,320,320,1,16,1.62,10.27,29.5907,7.500074
52,320,320,2,16,1.76,11.98,32.568964,8.24464
53,320,320,3,16,1.81,5.25,34.403604,8.7033
54,320,320,4,16,2.06,7.01,36.212756,9.155588
55,320,320,5,16,1.9,7.1,36.360708,9.192576
56,320,320,6,16,1.5,18.13,26.770076,6.794918
57,320,320,7,16,1.86,11.2,36.129116,9.134678
58,320,320,8,16,1.67,9.07,29.850932,7.565132
59,320,320,9,16,2.23,8.15,40.014028,10.105906
60,320,320,10,16,1.64,11.4,32.02162,8.107804
61,352,352,1,16,2.52,22.65,44.721508,11.30428
62,352,352,2,16,2.71,7.16,48.522428,12.25451
63,352,352,3,16,1.68,8.47,32.68654,8.295538
64,352,352,4,16,2.08,12.67,34.598852,8.773616
65,352,352,5,16,2.53,14.24,45.859268,11.58872
66,352,352,6,16,1.79,13.7,33.960028,8.61391
67,352,352,7,16,1.98,12.33,38.721212,9.804206
68,352,352,8,16,1.61,15.05,32.97162,8.366808
69,352,352,9,16,2.81,11.77,48.866692,12.340576
70,352,352,10,16,2.48,8.22,44.759156,11.313692
71,384,384,1,16,2.1,12.03,40.40494,10.24869
72,384,384,2,16,3.17,15.98,56.400612,14.247608
73,384,384,3,16,1.69,8.31,38.571484,9.790326
74,384,384,4,16,3.08,12.59,54.918932,13.877188
75,384,384,5,16,1.97,15.02,42.106796,10.674154
76,384,384,6,16,2.75,11.04,51.2837,12.96838
77,384,384,7,16,2.92,19.19,50.853444,12.860816
