model_num,input_horizontal,input_vertical,step,number of layers,FLOPs_G,Total_params_M,Memory_M,Execution_time
1,32,32,1,10,0.03,8.32,0.309548,3.53812408447266
2,32,32,2,10,0.02,4.42,0.307268,2.01992511749268
3,32,32,3,10,0.02,4.76,0.229212,2.152756690979
4,64,64,1,14,0.07,1.61,1.339628,1.30372333526611
5,64,64,2,14,0.06,2.39,1.226196,1.66988754272461
6,64,64,3,14,0.07,1.33,1.317748,1.24767971038818
7,96,96,1,14,0.12,3.28,2.335492,2.07840347290039
8,96,96,2,14,0.08,3.61,1.93578,2.21501445770264
9,96,96,3,14,0.17,3.16,3.182172,2.23814582824707
10,128,128,1,14,0.29,4.32,5.510724,3.26898765563965
11,128,128,2,14,0.28,6.15,5.484668,3.96613216400146
12,128,128,3,14,0.21,8.62,4.156492,4.42958641052246
13,160,160,1,14,0.36,11.74,6.6751,5.97169971466064
14,160,160,2,14,0.23,12.47,5.787052,6.11373901367188
15,160,160,3,14,0.36,8.83,7.069252,4.93984031677246
16,192,192,1,14,0.76,16.94,13.229556,9.75956535339356
17,192,192,2,14,0.51,20.63,9.072052,10.0829162597656
18,192,192,3,14,0.73,18.17,12.803756,10.1866998672485
19,224,224,1,14,1.09,14.47,19.075116,10.6384592056274
20,224,224,2,14,0.86,31.45,14.25398,17.3766307830811
21,224,224,3,14,0.95,19.34,16.940956,12.4520111083984
22,256,256,1,14,1.51,36.15,25.714092,21.0995569229126
23,256,256,2,14,1.15,27.84,21.749164,17.6305179595947
24,256,256,3,14,1.47,28.92,25.595436,18.1265239715576
25,288,288,1,16,1.19,6.3,25.25574,8.40803050994873
26,288,288,2,16,1.87,7.31,32.5977,11.2455730438232
27,288,288,3,16,1.61,17.04,29.6073,13.9840002059937
28,320,320,1,16,2.07,6.36,37.794772,11.6823854446411
29,320,320,2,16,1.86,18.47,35.254892,16.1981239318848
30,320,320,3,16,1.95,8.79,34.95578,12.5314970016479
31,352,352,1,16,1.51,16.67,33.5421,15.4403791427612
32,352,352,2,16,1.5,17,32.599204,15.2432556152344
33,352,352,3,16,1.58,13.38,32.087836,12.8241157531738
34,384,384,1,16,2.68,25.01,47.322972,23.2118606567383
35,384,384,2,16,1.49,13.46,33.824076,14.0131855010986
36,384,384,3,16,1.83,12.46,36.983548,14.7046947479248
37,416,416,1,16,3.19,21.89,58.62854,25.6743955612183
38,416,416,2,16,3.09,18.72,53.175516,22.9275932312012
39,416,416,3,16,3.09,17.96,53.174748,22.4584217071533
40,448,448,1,16,2.96,21.2,51.45654,22.9555282592773
41,448,448,2,16,4.33,19.96,76.945604,26.1799802780151
43,480,480,1,16,3.79,47.22,68.795684,38.990665435791
44,480,480,2,16,4.93,40.31,86.15262,39.2500801086426
45,480,480,3,16,5.02,24.83,84.994076,34.8875827789307
